TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2019-08-14 12:19:02.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-08-14 12:19:02.877,0,0.690064916520485,0.888975526111152,0.746074663726098,0,0.4645489350742846,0.9941146383011293,0.8369004434583872,0,0.8784708341023518,0.9501681349102912,0.9009866087393501,0,0.7875723196223322,1.435285322323537,1.101823669193923,0,1.522224192417771,1.298649047123891,0.5203873131686036,1348.608058608059,856.6300366300367,43.51648351648352,864.6886446886447,867.5091575091575,0.553589,0.071472,0.822205,-1.218719,4.194489,4.127197,1,2,1,1,2,77.109375
2019-08-14 12:19:03.862,0,0.7059301626709821,0.888975526111152,1.583783210136478,0,0.4633278500808007,0.9941146383011293,0.987850927157941,0,0.8249746535771182,0.9501681349102912,1.135034895240934,0,0.6470037883469035,1.435285322323537,0.8122241269551759,0,1.502982055682592,1.298649047123891,0.5828707734530482,1138.681318681319,893.2967032967033,126.9230769230769,879.5970695970697,865.8974358974359,0.555176,0.070557,0.820190,-1.338348,4.052429,4.179535,1,1,1,1,1,77.109375
2019-08-14 12:19:04.440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-08-14 12:19:04.862,0,0.3796570263049824,0.888975526111152,1.244880673059239,0,0.2783532080833562,0.9941146383011293,0.63593898714691,0,0.6831355934990164,0.9501681349102912,1.049485799750647,0,0.7145780922101291,1.435285322323537,0.6562556202179549,0,1.501364724276154,1.298649047123891,0.5263621764003514,532.2710622710623,906.5934065934066,375.5311355311355,855.0183150183151,866.3003663003664,0.557983,0.067322,0.817932,-1.435547,3.955231,3.678589,1,1,1,2,1,77.109375
2019-08-14 12:19:05.873,0,0.3182155618898474,0.888975526111152,0.3841446507128752,0,0.1848458674592441,0.9941146383011293,0.06591764533999228,0,0.7704636918573041,0.9501681349102912,0.3647399822549955,0,0.7354305988188864,1.435285322323537,0.3701039878282488,0,1.549213576832137,1.298649047123891,0.4590861148807082,1241.025641025641,863.8827838827839,79.78021978021978,865.0915750915751,857.4358974358975,0.556274,0.066528,0.817993,-1.338348,4.605713,4.486084,1,1,1,2,1,77.109375
2019-08-14 12:19:06.862,0,-0.002274340861944982,0.888975526111152,0.3587391082806426,0,0.01027201307252109,0.9941146383011293,-0.007969953862540039,0,0.7342885978648552,0.9501681349102912,0.4132153983144677,0,0.786624507474654,1.435285322323537,0.5202438482588311,0,1.55692404962535,1.298649047123891,0.3725291026121531,1160.43956043956,877.1794871794872,107.1794871794872,787.7289377289378,888.0586080586081,0.558411,0.065186,0.817444,-0.934601,3.499146,3.828125,1,1,1,2,1,77.109375
2019-08-14 12:19:07.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-08-14 12:19:07.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-08-14 12:19:07.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
